Action,Ticker,Data_Price,Predicted_Price,Price_Discount,CurrentPrice,Current_Profit
Buy,GMDA,0.3140000104904175,[1.26],[300.33]%,0.009100000374019146,-97.1%
Buy,INGN,5.78000020980835,[6.6],[14.15]%,7.360000133514404,27.34%
Buy,BNGO,1.7100000381469729,[2.9],[69.73]%,0.9800000190734863,-42.69%
Buy,MDAI,2.509999990463257,[3.],[19.37]%,2.0,-20.32%
Buy,XERS,2.119999885559082,[2.76],[30.34]%,1.909999966621399,-9.91%
Buy,RSLS,0.2949999868869781,[0.6],[103.47]%,0.16500000655651093,-44.07%
Buy,UBX,1.559999942779541,[1.8],[15.12]%,1.5199999809265137,-2.56%
Buy,SNSE,0.6800000071525574,[1.57],[131.41]%,1.0499999523162842,54.41%
Buy,IBRX,4.519999980926514,[6.44],[42.37]%,5.110000133514404,13.05%
Buy,FHTX,6.699999809265137,[8.27],[23.43]%,7.420000076293945,10.75%
Buy,NRIX,6.110000133514404,[7.75],[26.79]%,16.739999771118164,173.98%
Buy,RFL,2.0199999809265137,[2.62],[29.73]%,1.659999966621399,-17.82%
Buy,CDXC,1.4299999475479126,[2.13],[49.21]%,3.8499999046325684,169.23%
Buy,KRMD,2.400000095367432,[2.8],[16.47]%,2.0799999237060547,-13.33%
Buy,VYNE,2.630000114440918,[3.52],[33.79]%,2.7699999809265137,5.32%
Buy,LXRX,1.3600000143051147,[1.57],[15.38]%,1.9700000286102295,44.85%
Buy,SINT,0.4749999940395355,[1.28],[168.54]%,0.024000000208616257,-94.95%
Buy,SYBX,3.7799999713897705,[4.66],[23.21]%,1.7699999809265137,-53.17%
Buy,BOLT,0.9900000095367432,[1.87],[88.66]%,1.2000000476837158,21.21%
Buy,POCI,6.179999828338623,[7.17],[15.97]%,5.460000038146973,-11.65%
Buy,HOTH,1.2999999523162842,[2.15],[65.22]%,1.2200000286102295,-6.15%
Buy,AMPE,1.8899999856948853,[2.52],[33.25]%,0.6200000047683716,-67.2%
Buy,POAI,3.119999885559082,[4.22],[35.25]%,1.7599999904632568,-43.59%
Buy,FGEN,0.7599999904632568,[0.87],[14.87]%,1.2999999523162842,71.05%
Buy,SCLX,1.3799999952316284,[2.19],[58.78]%,1.3300000429153442,-3.62%
Buy,VXRT,0.6000000238418579,[1.34],[122.74]%,0.9100000262260437,51.67%
Buy,ATRA,0.550000011920929,[1.37],[148.69]%,0.7080000042915344,28.73%
Buy,NUWE,0.5799999833106995,[0.85],[45.99]%,0.3700000047683716,-36.21%
Buy,MRSN,2.0199999809265137,[2.89],[43.11]%,3.809999942779541,88.61%
Buy,HYPR,1.0700000524520874,[1.43],[33.18]%,0.9950000047683716,-7.01%
Buy,ALGS,0.7400000095367432,[1.96],[165.23]%,1.0,35.14%
Buy,SSKN,0.6200000047683716,[1.58],[155.11]%,0.5099999904632568,-17.74%
Buy,VIRX,0.5099999904632568,[1.15],[126.39]%,1.149999976158142,125.49%
Buy,DRIO,1.6699999570846558,[2.6],[55.97]%,1.2300000190734863,-26.35%
Buy,TCRT,0.75,[0.94],[25.57]%,1.6100000143051147,114.67%
Buy,OCUL,4.190000057220459,[4.91],[17.13]%,7.989999771118164,90.69%
Buy,EIGR,6.189000129699707,[7.27],[17.47]%,1.9900000095367432,-67.85%
Buy,ARQT,3.069999933242798,[3.83],[24.71]%,10.199999809265137,232.25%
Buy,BTCY,0.4699999988079071,[1.74],[269.24]%,1.149999976158142,144.68%
Buy,MCRB,1.3300000429153442,[2.07],[55.79]%,0.6549999713897705,-50.75%
Buy,ME,2.2300000190734863,[2.63],[17.95]%,0.4429999887943268,-80.13%
Buy,HRTX,1.7999999523162842,[4.],[122.17]%,2.9100000858306885,61.67%

Total Current Profit:
36,80%
